url,product_name,reviewer_name,review_title,review_text,review_rating,verified_purchase,review_date,helpful_count,uniq_id,scraped_at
https://amazon.com/dp/APP1,Apple iPhone 14 Pro Max,Customer_1145,Fragile,Back glass shattered despite using a case.,2,TRUE,Reviewed in the United States on 02 May 2023,68 people found this helpful,id-706103,24/10/23 10:00
https://amazon.com/dp/APP1,Apple iPhone 14 Pro Max,Customer_7138,Solid phone,Works perfectly with my Mac and iPad.,4,TRUE,Reviewed in the United States on 28 Dec 2023,64 people found this helpful,id-987519,24/10/23 10:00
https://amazon.com/dp/APP1,Apple iPhone 14 Pro Max,Customer_8317,Fragile,Back glass shattered despite using a case.,2,TRUE,Reviewed in the United States on 01 Mar 2023,80 people found this helpful,id-638821,24/10/23 10:00
https://amazon.com/dp/APP1,Apple iPhone 14 Pro Max,Customer_6671,Overrated,Battery health dropped 5% in two months.,2,TRUE,Reviewed in the United States on 20 Jun 2023,43 people found this helpful,id-773335,24/10/23 10:00
https://amazon.com/dp/APP1,Apple iPhone 14 Pro Max,Customer_8556,Perfect iPhone,Best battery life I've seen on an iPhone.,5,FALSE,Reviewed in the United States on 18 Jan 2023,60 people found this helpful,id-826713,24/10/23 10:00
https://amazon.com/dp/APP1,Apple iPhone 14 Pro Max,Customer_7718,Fragile,Battery health dropped 5% in two months.,2,TRUE,Reviewed in the United States on 06 May 2023,94 people found this helpful,id-455061,24/10/23 10:00
https://amazon.com/dp/APP1,Apple iPhone 14 Pro Max,Customer_1460,Fragile,Too heavy and uncomfortable to hold for long periods.,2,FALSE,Reviewed in the United States on 28 Jun 2023,,id-813776,24/10/23 10:00
https://amazon.com/dp/APP1,Apple iPhone 14 Pro Max,Customer_5301,Overrated,Too heavy and uncomfortable to hold for long periods.,2,FALSE,Reviewed in the United States on 31 May 2023,98 people found this helpful,id-625085,24/10/23 10:00
https://amazon.com/dp/APP1,Apple iPhone 14 Pro Max,Customer_4155,Overrated,Back glass shattered despite using a case.,2,TRUE,Reviewed in the United States on 20 Jun 2023,,id-356555,24/10/23 10:00
https://amazon.com/dp/APP1,Apple iPhone 14 Pro Max,Customer_3157,Solid phone,Screen is very bright and clear. Good upgrade.,4,FALSE,Reviewed in the United States on 18 May 2023,,id-916871,24/10/23 10:00
https://amazon.com/dp/APP1,Apple iPhone 14 Pro Max,Customer_9051,Regret buying,Overpriced and doesn't offer anything new.,1,FALSE,Reviewed in the United States on 23 Apr 2023,82 people found this helpful,id-591941,24/10/23 10:00
https://amazon.com/dp/APP1,Apple iPhone 14 Pro Max,Customer_3100,Regret buying,My screen froze and had to be replaced.,1,TRUE,Reviewed in the United States on 18 Jun 2023,90 people found this helpful,id-846463,24/10/23 10:00
